Full_Name,Age,Birthday,Gender,Barangay,Civil_Status,Educational_Attainment,Employment_Status,Monthly_Income,Number_of_Dependents,With_Minor,With_PWD,Disability_Category,Type_of_Solo_Parent,Duration_Months,Is_Pregnant,Youngest_Child_Age,Receiving_Other_Govt_Cash_Aid,Formal_PhilHealth_Member,Dependent_Currently_Studying,Below_Poverty_Line,Eligibility,Cash_Subsidy_Sec15a,VAT_Discount_Sec15b,PhilHealth_Coverage_Sec15c,Livelihood_Priority_Sec15d,Housing_Priority_Sec15e,Educational_Support_Sec9,Priority_Level,Recommendation,Remarks
Nestor Salazar,48,06/24/1978,M,Bubukal,Single,Vocational,Unemployed,993,2,Yes,No,N/A,Legal or de facto separation,4,0,4,Yes,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Josephine Aquino,44,10/08/1981,F,Alipit,Separated,Vocational,Unemployed,15917,0,No,No,N/A,"Declaration of nullity, annulment, or divorce",59,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Reynaldo Bautista,35,06/22/1991,M,Santisima Cruz,Separated,High School,Part-Time,9776,4,Yes,No,N/A,Physical or mental incapacity of spouse,4,0,5,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Precious Salazar,40,06/25/1986,F,San Pablo Norte,Single,College,Employed,21057,3,No,No,N/A,Abandonment by spouse,24,0,3,No,No,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Teresa Ocampo,25,06/21/2001,F,Bagumbayan,Single,High School,Part-Time,19727,4,No,Yes,Sensory (Visual/Hearing),"Declaration of nullity, annulment, or divorce",59,0,2,Yes,No,Yes,No,Eligible,No,Yes,Yes,Yes,No,Yes,High,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Divina Del Rosario,44,09/05/1982,F,Santisima Cruz,Annulled,College,Self-Employed,9385,0,No,No,N/A,Physical or mental incapacity of spouse,59,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Jocelyn Torres,54,12/09/1971,F,San Pablo Norte,Single,Postgraduate,Unemployed,94,0,No,No,N/A,Death of spouse,24,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Editha Pascual,48,09/29/1978,F,Bubukal,Annulled,Elementary,Self-Employed,3696,1,Yes,No,N/A,Abandonment by spouse,8,0,3,No,No,No,Yes,Eligible,Yes,Yes,Yes,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Housing Priority (Sec. 15e)",
Reynaldo Torres,32,01/30/1993,M,San Juan,Separated,Elementary,Unemployed,4116,0,No,No,N/A,Relative within 4th civil degree assuming care,54,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Arnel Gonzales,63,10/22/1962,M,Labuin,Single,High School,Employed,12629,5,No,No,N/A,"Declaration of nullity, annulment, or divorce",38,0,2,No,Yes,No,Yes,Eligible,Yes,Yes,No,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Housing Priority (Sec. 15e)",
Carlito Pascual,53,04/04/1972,F,Labuin,Single,Postgraduate,Unemployed,7102,2,Yes,No,N/A,Pregnant woman solely responsible for unborn child,0,0,7,No,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Jocelyn Cruz,18,07/21/2008,F,San Pablo Norte,Single,Postgraduate,Unemployed,1358,0,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
